system,system_key,kind,is_final,tau,tn,fp,fn,tp,flagged,accuracy,recall,specificity,accuracy_at_0.5,recall_at_0.5,abs_acc_change_pp_tau_to_0.5,median_p_authentic,median_p_machine,roc_auc,auc_ci_low,auc_ci_high,auc_vs_chance
BERT,model::bert,model,False,0.2080422645908259,1977,9,2044,0,9,0.49057071960297766,0.0,0.9954682779456193,0.4913151364764268,0.0,0.07444168734491163,0.00046818035480095,0.0006617967737837999,0.9054992087469429,0.8942207572695432,0.9161780701373897,above
BERT + Sentiment Profile,model::bert_sentiment_profile,model,False,0.2180028987008278,1982,4,2044,0,4,0.49181141439205955,0.0,0.9979859013091642,0.49205955334987594,0.0,0.02481389578163906,1.9824404262180906e-05,1.6754926946305204e-05,0.3219219960466908,0.3040144945323659,0.3380689468562427,below
RoBERTa,model::roberta,model,False,0.0312621300238776,1984,2,2044,0,2,0.49230769230769234,0.0,0.998992950654582,0.49280397022332506,0.0,0.04962779156327257,0.00082892738282675,0.0008061612315941,0.4254379482207153,0.4076854840097865,0.44205776867645846,below
RoBERTa + Sentiment Profile,model::roberta_sentiment_profile,model,False,0.9790508217963078,1870,116,2041,3,119,0.4647642679900744,0.0014677103718199608,0.9415911379657603,0.46253101736972707,0.0014677103718199608,0.2233250620347349,4.599560952556203e-06,4.500208206081879e-06,0.4884691864578468,0.47060639430473145,0.5067842129779863,includes_0.5
DeBERTa,model::deberta,model,False,0.0195709259400854,1981,5,2044,0,5,0.49156327543424316,0.0,0.9974823766364552,0.49230769230769234,0.0,0.07444168734491718,3.6187973819323815e-05,3.677932545542717e-05,0.5743970021067235,0.5557471010186579,0.5912456397858535,above
DeBERTa + Sentiment Profile,model::deberta_sentiment_profile,model,False,0.99,1980,6,2044,0,6,0.4913151364764268,0.0,0.9969788519637462,0.49057071960297766,0.0,0.07444168734491163,5.084081067252555e-06,5.360065870263497e-06,0.558759407831336,0.5398585053061592,0.5763268244516224,above
DeBERTa-v3,model::deberta_v3_base,model,False,0.1341782063245773,1974,12,2044,0,12,0.48982630272952854,0.0,0.9939577039274925,0.49081885856079405,0.0,0.0992555831265507,0.00012782419071295,0.0001297354101552,0.510769367963218,0.49061677008449844,0.5279108693625538,includes_0.5
DeBERTa-v3 + Sentiment Profile (Gated),model::deberta_v3_sentiment_gated,model,False,0.057727833830338,1976,10,2044,0,10,0.49032258064516127,0.0,0.9949647532729103,0.49057071960297766,0.0,0.02481389578163906,2.3239190340973437e-06,2.0878673012703075e-06,0.45010302055681345,0.43186057233923814,0.4686439081338972,below
ModernBERT,model::modernbert_base,model,False,0.283028790899347,1985,1,2044,0,1,0.49255583126550867,0.0,0.999496475327291,0.49255583126550867,0.0,0.0,3.352206290330173e-09,7.567408921715923e-09,0.7238132682200057,0.7075085262584573,0.7397512463297558,above
ModernBERT + Sentiment Profile,model::modernbert_sentiment_profile,model,False,0.0210675566521439,1983,3,2044,0,3,0.49205955334987594,0.0,0.9984894259818731,0.49205955334987594,0.0,0.0,1.4047104741621297e-06,1.36213049017897e-06,0.4521594902083666,0.43473175686640325,0.4696238520738026,below
ELECTRA,model::electra_base,model,False,0.9739435122241902,1976,10,2044,0,10,0.49032258064516127,0.0,0.9949647532729103,0.48982630272952854,0.0,0.04962779156327257,0.00032205620664165,0.00031193853646975,0.4730135163364688,0.4539638890693218,0.4899754243870878,below
ELECTRA + Sentiment Profile,model::electra_sentiment_profile,model,False,0.9544776935320544,1982,4,2044,0,4,0.49181141439205955,0.0,0.9979859013091642,0.49106699751861044,0.0,0.07444168734491163,6.861320798634551e-05,6.2808561779093e-05,0.3827660797795922,0.3652172203905849,0.3997927531524958,below
