backbone,candidate_key,candidate,selected,validation_accuracy,validation_f1,validation_roc_auc,selected_threshold
BERT,bert,BERT,True,0.9708137521642345,0.9707776126795444,0.9959406205172101,0.20804226459082598
BERT,bert_sentiment_profile,BERT + Sentiment Profile,False,0.9661142715805096,0.9662976629766298,0.9943156207007432,0.21800289870082784
RoBERTa,roberta,RoBERTa,False,0.9633935196636161,0.9625316455696202,0.9964246578091269,0.03126213002387761
RoBERTa,roberta_sentiment_profile,RoBERTa + Sentiment Profile,True,0.9782339846648528,0.9783889980353635,0.998082938248294,0.9790508217963078
DeBERTa,deberta,DeBERTa,True,0.9792233489982686,0.9790940766550523,0.9981395887200223,0.019570925940085426
DeBERTa,deberta_sentiment_profile,DeBERTa + Sentiment Profile,False,0.9757605738313134,0.9760508308895406,0.9978470373638615,0.99
DeBERTa-v3,deberta_v3_base,DeBERTa-v3,False,0.9779866435814989,0.9779757485770849,0.9980235959614944,0.13417820632457733
DeBERTa-v3,deberta_v3_sentiment_gated,DeBERTa-v3 + Sentiment Profile (Gated),True,0.9799653722483305,0.9800246609124538,0.9982515437559434,0.05772783383033802
ModernBERT,modernbert_base,ModernBERT,False,0.9836754884986396,0.9838076545632973,0.9987584614759663,0.28302879089934707
ModernBERT,modernbert_sentiment_profile,ModernBERT + Sentiment Profile,True,0.9844175117487015,0.9844020797227037,0.9986577631212525,0.02106755665214396
ELECTRA,electra_base,ELECTRA,True,0.9812020776651001,0.981243830207305,0.9978026224151846,0.9739435122241902
ELECTRA,electra_sentiment_profile,ELECTRA + Sentiment Profile,False,0.9690823645807569,0.9693702523891203,0.995286264744417,0.9544776935320545
DistilBERT,distilbert,DistilBERT,False,0.981944100915162,0.9819172652960119,0.9981116917274651,0.2987274209627846
DistilBERT,distilbert_sentiment_profile,DistilBERT + Sentiment Profile,True,0.9836754884986396,0.9836633663366336,0.9979735526722139,0.8807628123443481
